,model,dataset,noise_type,noise_ratio,accuracy,std
0,nrgnn,roman-empire,uniform,0.0,0.5231450758912812,0.06580084335557633
1,nrgnn,roman-empire,uniform,0.2,0.5340275326509001,0.06582308003983729
