,split,sup_loss_weight,alpha,u,accuracy
138,9,0.25,0.2,0.5,0.598
139,10,0.25,0.2,0.5,0.562
140,1,0.25,0.2,0.8,0.55
141,2,0.25,0.2,0.8,0.652
142,3,0.25,0.2,0.8,0.66
143,4,0.25,0.2,0.8,0.642
144,5,0.25,0.2,0.8,0.612
145,6,0.25,0.2,0.8,0.61
146,7,0.25,0.2,0.8,0.606
147,8,0.25,0.2,0.8,0.632
148,9,0.25,0.2,0.8,0.654
149,10,0.25,0.2,0.8,0.558
150,1,0.25,0.5,0.2,0.616
151,2,0.25,0.5,0.2,0.64
152,3,0.25,0.5,0.2,0.612
153,4,0.25,0.5,0.2,0.642
154,5,0.25,0.5,0.2,0.624
155,6,0.25,0.5,0.2,0.626
156,7,0.25,0.5,0.2,0.628
157,8,0.25,0.5,0.2,0.602
158,9,0.25,0.5,0.2,0.614
159,10,0.25,0.5,0.2,0.526
160,1,0.25,0.5,0.5,0.64
161,2,0.25,0.5,0.5,0.634
162,3,0.25,0.5,0.5,0.614
163,4,0.25,0.5,0.5,0.662
164,5,0.25,0.5,0.5,0.64
165,6,0.25,0.5,0.5,0.652
166,7,0.25,0.5,0.5,0.652
167,8,0.25,0.5,0.5,0.614
168,9,0.25,0.5,0.5,0.606
169,10,0.25,0.5,0.5,0.65
170,1,0.25,0.5,0.8,0.598
171,2,0.25,0.5,0.8,0.634
172,3,0.25,0.5,0.8,0.608
173,4,0.25,0.5,0.8,0.648
174,5,0.25,0.5,0.8,0.574
175,6,0.25,0.5,0.8,0.576
176,7,0.25,0.5,0.8,0.554
177,8,0.25,0.5,0.8,0.588
178,9,0.25,0.5,0.8,0.498
179,10,0.25,0.5,0.8,0.546
180,1,0.25,0.7,0.2,0.558
181,2,0.25,0.7,0.2,0.648
182,3,0.25,0.7,0.2,0.628
183,4,0.25,0.7,0.2,0.608
184,5,0.25,0.7,0.2,0.612
185,6,0.25,0.7,0.2,0.614
186,7,0.25,0.7,0.2,0.618
187,8,0.25,0.7,0.2,0.636
188,9,0.25,0.7,0.2,0.638
189,10,0.25,0.7,0.2,0.51
190,1,0.25,0.7,0.5,0.554
191,2,0.25,0.7,0.5,0.646
192,3,0.25,0.7,0.5,0.654
193,4,0.25,0.7,0.5,0.604
194,5,0.25,0.7,0.5,0.616
195,6,0.25,0.7,0.5,0.56
