,split,sup_loss_weight,alpha,u,accuracy
111,2,0.1,0.9,0.8,0.36779356524579454
112,3,0.1,0.9,0.8,0.3679568838804508
113,4,0.1,0.9,0.8,0.3808590560182917
114,5,0.1,0.9,0.8,0.38755512003919645
115,6,0.1,0.9,0.8,0.3699167074963253
116,7,0.1,0.9,0.8,0.3775926833251674
117,8,0.1,0.9,0.8,0.36779356524579454
118,9,0.1,0.9,0.8,0.37693940878654253
119,10,0.1,0.9,0.8,0.4104197288910665
120,1,0.25,0.2,0.2,0.36779356524579454
121,2,0.25,0.2,0.2,0.49632533072023516
122,3,0.25,0.2,0.2,0.4945288257390168
123,4,0.25,0.2,0.2,0.5059611301649518
124,5,0.25,0.2,0.2,0.3890249877511024
125,6,0.25,0.2,0.2,0.4919157275845174
126,7,0.25,0.2,0.2,0.501551527029234
127,8,0.25,0.2,0.2,0.3790625510370733
128,9,0.25,0.2,0.2,0.506124448799608
129,10,0.25,0.2,0.2,0.37154989384288745
130,1,0.25,0.2,0.5,0.371223256573575
131,2,0.25,0.2,0.5,0.3717132124775437
132,3,0.25,0.2,0.5,0.5041646251837335
133,4,0.25,0.2,0.5,0.386411889596603
134,5,0.25,0.2,0.5,0.4334476563775927
135,6,0.25,0.2,0.5,0.5004082965866405
136,7,0.25,0.2,0.5,0.49501878164298546
137,8,0.25,0.2,0.5,0.44798301486199577
138,9,0.25,0.2,0.5,0.36812020251510696
139,10,0.25,0.2,0.5,0.4942021884697044
140,1,0.25,0.2,0.8,0.416952474277315
141,2,0.25,0.2,0.8,0.46545810877021065
142,3,0.25,0.2,0.8,0.4643148783276172
143,4,0.25,0.2,0.8,0.4439000489955904
144,5,0.25,0.2,0.8,0.38951494365507106
145,6,0.25,0.2,0.8,0.42168871468234526
146,7,0.25,0.2,0.8,0.4556589906908378
147,8,0.25,0.2,0.8,0.47084762371386574
148,9,0.25,0.2,0.8,0.46153846153846156
149,10,0.25,0.2,0.8,0.4734607218683652
150,1,0.25,0.5,0.2,0.38722848276988403
151,2,0.25,0.5,0.2,0.4342642495508738
152,3,0.25,0.5,0.2,0.42266862649028253
153,4,0.25,0.5,0.2,0.3823289237301976
154,5,0.25,0.5,0.2,0.2678425608361914
155,6,0.25,0.5,0.2,0.3855952964233219
156,7,0.25,0.5,0.2,0.3865752082312592
157,8,0.25,0.5,0.2,0.374979585170668
158,9,0.25,0.5,0.2,0.3823289237301976
159,10,0.25,0.5,0.2,0.3534215253960477
160,1,0.25,0.5,0.5,0.3903315368283521
161,2,0.25,0.5,0.5,0.45255593663236976
162,3,0.25,0.5,0.5,0.4136861015841908
163,4,0.25,0.5,0.5,0.40976645435244163
164,5,0.25,0.5,0.5,0.4256083619140944
165,6,0.25,0.5,0.5,0.3820022864608852
166,7,0.25,0.5,0.5,0.3939245467907888
167,8,0.25,0.5,0.5,0.38461538461538464
168,9,0.25,0.5,0.5,0.425281724644782
169,10,0.25,0.5,0.5,0.4380205781479667
170,1,0.25,0.5,0.8,0.4176057488159399
171,2,0.25,0.5,0.8,0.4136861015841908
172,3,0.25,0.5,0.8,0.42789482279928137
173,4,0.25,0.5,0.8,0.41515596929609666
174,5,0.25,0.5,0.8,0.36779356524579454
175,6,0.25,0.5,0.8,0.4336109750122489
176,7,0.25,0.5,0.8,0.45484239751755673
177,8,0.25,0.5,0.8,0.4324677445696554
178,9,0.25,0.5,0.8,0.4265882737220317
179,10,0.25,0.5,0.8,0.44030703903315366
180,1,0.25,0.7,0.2,0.3739996733627307
181,2,0.25,0.7,0.2,0.36779356524579454
182,3,0.25,0.7,0.2,0.38053241874897925
183,4,0.25,0.7,0.2,0.3682835211497632
184,5,0.25,0.7,0.2,0.3695900702270129
185,6,0.25,0.7,0.2,0.3679568838804508
186,7,0.25,0.7,0.2,0.3944145026947575
187,8,0.25,0.7,0.2,0.36779356524579454
188,9,0.25,0.7,0.2,0.3733463988241058
189,10,0.25,0.7,0.2,0.37154989384288745
190,1,0.25,0.7,0.5,0.4133594643148783
191,2,0.25,0.7,0.5,0.39572105177200717
192,3,0.25,0.7,0.5,0.3687734770537318
193,4,0.25,0.7,0.5,0.36779356524579454
194,5,0.25,0.7,0.5,0.37024334476563775
195,6,0.25,0.7,0.5,0.3810223746529479
196,7,0.25,0.7,0.5,0.3808590560182917
197,8,0.25,0.7,0.5,0.3692634329577005
198,9,0.25,0.7,0.5,0.390984811366977
199,10,0.25,0.7,0.5,0.36861015841907563
200,1,0.25,0.7,0.8,0.3810223746529479
201,2,0.25,0.7,0.8,0.3673036093418259
202,3,0.25,0.7,0.8,0.3679568838804508
203,4,0.25,0.7,0.8,0.3764494528825739
204,5,0.25,0.7,0.8,0.38298219826882246
205,6,0.25,0.7,0.8,0.3695900702270129
206,7,0.25,0.7,0.8,0.36910011432304424
207,8,0.25,0.7,0.8,0.38918830638575863
208,9,0.25,0.7,0.8,0.36779356524579454
209,10,0.25,0.7,0.8,0.40437693940878655
210,1,0.25,0.9,0.2,0.38461538461538464
211,2,0.25,0.9,0.2,0.39000489955903966
212,3,0.25,0.9,0.2,0.3503184713375796
213,4,0.25,0.9,0.2,0.36191409439817085
214,5,0.25,0.9,0.2,0.3705699820349502
215,6,0.25,0.9,0.2,0.3679568838804508
216,7,0.25,0.9,0.2,0.36779356524579454
217,8,0.25,0.9,0.2,0.3684468397844194
218,9,0.25,0.9,0.2,0.2678425608361914
219,10,0.25,0.9,0.2,0.3671402907071697
220,1,0.25,0.9,0.5,0.37138657520823126
221,2,0.25,0.9,0.5,0.3692634329577005
222,3,0.25,0.9,0.5,0.36779356524579454
223,4,0.25,0.9,0.5,0.33463988241058307
224,5,0.25,0.9,0.5,0.36779356524579454
225,6,0.25,0.9,0.5,0.36665033480320103
226,7,0.25,0.9,0.5,0.35701453535848443
227,8,0.25,0.9,0.5,0.4020904785235995
228,9,0.25,0.9,0.5,0.2678425608361914
229,10,0.25,0.9,0.5,0.36779356524579454
230,1,0.25,0.9,0.8,0.37693940878654253
231,2,0.25,0.9,0.8,0.36779356524579454
232,3,0.25,0.9,0.8,0.36779356524579454
233,4,0.25,0.9,0.8,0.37481626653601174
234,5,0.25,0.9,0.8,0.3741629919973869
235,6,0.25,0.9,0.8,0.4058468071206925
236,7,0.25,0.9,0.8,0.36403723664870163
237,8,0.25,0.9,0.8,0.37236648701616853
238,9,0.25,0.9,0.8,0.384125428711416
239,10,0.25,0.9,0.8,0.4096031357177854
240,1,0.5,0.2,0.2,0.4951821002776417
241,2,0.5,0.2,0.2,0.4999183406826719
242,3,0.5,0.2,0.2,0.4930589580271109
243,4,0.5,0.2,0.2,0.505307855626327
244,5,0.5,0.2,0.2,0.4966519679895476
245,6,0.5,0.2,0.2,0.3766127715172301
246,7,0.5,0.2,0.2,0.4337742936469051
247,8,0.5,0.2,0.2,0.269802384452066
248,9,0.5,0.2,0.2,0.36779356524579454
249,10,0.5,0.2,0.2,0.45271925526702594
250,1,0.5,0.2,0.5,0.49338559529642334
251,2,0.5,0.2,0.5,0.47607382002286464
252,3,0.5,0.2,0.5,0.4981218357014535
253,4,0.5,0.2,0.5,0.5025314388371713
254,5,0.5,0.2,0.5,0.5007349338559529
255,6,0.5,0.2,0.5,0.37579617834394907
256,7,0.5,0.2,0.5,0.5010615711252654
257,8,0.5,0.2,0.5,0.37465294790135556
258,9,0.5,0.2,0.5,0.5012248897599216
259,10,0.5,0.2,0.5,0.4896292666993304
260,1,0.5,0.2,0.8,0.467254613751429
261,2,0.5,0.2,0.8,0.4574554956720562
262,3,0.5,0.2,0.8,0.4234852196635636
263,4,0.5,0.2,0.8,0.46366160378899235
264,5,0.5,0.2,0.8,0.4187489792585334
265,6,0.5,0.2,0.8,0.4669279764821166
266,7,0.5,0.2,0.8,0.41940225379715823
267,8,0.5,0.2,0.8,0.4120529152376286
268,9,0.5,0.2,0.8,0.45925200065327454
269,10,0.5,0.2,0.8,0.462681691981055
270,1,0.5,0.5,0.2,0.38379879144210355
271,2,0.5,0.5,0.2,0.38249224236485385
272,3,0.5,0.5,0.2,0.41956557243181447
273,4,0.5,0.5,0.2,0.38249224236485385
274,5,0.5,0.5,0.2,0.43900048995590396
275,6,0.5,0.5,0.2,0.42283194512493877
276,7,0.5,0.5,0.2,0.37840927649844847
277,8,0.5,0.5,0.2,0.3844520659807284
278,9,0.5,0.5,0.2,0.3833088355381349
279,10,0.5,0.5,0.2,0.46578474603952313
280,1,0.5,0.5,0.5,0.3717132124775437
281,2,0.5,0.5,0.5,0.4620284174424302
282,3,0.5,0.5,0.5,0.43851053405193535
283,4,0.5,0.5,0.5,0.44896292666993304
284,5,0.5,0.5,0.5,0.42626163645271925
285,6,0.5,0.5,0.5,0.4545157602482443
286,7,0.5,0.5,0.5,0.44308345582230935
287,8,0.5,0.5,0.5,0.3833088355381349
288,9,0.5,0.5,0.5,0.36779356524579454
289,10,0.5,0.5,0.5,0.42283194512493877
290,1,0.5,0.5,0.8,0.36779356524579454
291,2,0.5,0.5,0.8,0.42985464641515597
292,3,0.5,0.5,0.8,0.41597256246937775
293,4,0.5,0.5,0.8,0.3810223746529479
294,5,0.5,0.5,0.8,0.40650008165931734
295,6,0.5,0.5,0.8,0.3739996733627307
296,7,0.5,0.5,0.8,0.425281724644782
297,8,0.5,0.5,0.8,0.4337742936469051
298,9,0.5,0.5,0.8,0.4247917687408133
299,10,0.5,0.5,0.8,0.3922913604442267
300,1,0.5,0.7,0.2,0.37105993793891884
301,2,0.5,0.7,0.2,0.37481626653601174
302,3,0.5,0.7,0.2,0.36779356524579454
303,4,0.5,0.7,0.2,0.3847787032500408
304,5,0.5,0.7,0.2,0.36436387391801406
305,6,0.5,0.7,0.2,0.3741629919973869
306,7,0.5,0.7,0.2,0.3762861342479177
307,8,0.5,0.7,0.2,0.3762861342479177
308,9,0.5,0.7,0.2,0.41254287114159727
309,10,0.5,0.7,0.2,0.3705699820349502
310,1,0.5,0.7,0.5,0.3867385268659154
311,2,0.5,0.7,0.5,0.3725298056508248
312,3,0.5,0.7,0.5,0.38543197778866567
313,4,0.5,0.7,0.5,0.37922586967172955
314,5,0.5,0.7,0.5,0.3720398497468561
315,6,0.5,0.7,0.5,0.3991507430997877
316,7,0.5,0.7,0.5,0.3844520659807284
317,8,0.5,0.7,0.5,0.37350971745876205
318,9,0.5,0.7,0.5,0.36436387391801406
319,10,0.5,0.7,0.5,0.36779356524579454
320,1,0.5,0.7,0.8,0.3869018455005716
321,2,0.5,0.7,0.8,0.37840927649844847
322,3,0.5,0.7,0.8,0.3877184386738527
323,4,0.5,0.7,0.8,0.3699167074963253
324,5,0.5,0.7,0.8,0.3865752082312592
325,6,0.5,0.7,0.8,0.40699003756328594
326,7,0.5,0.7,0.8,0.37808263922913604
327,8,0.5,0.7,0.8,0.38592193369263433
328,9,0.5,0.7,0.8,0.3775926833251674
329,10,0.5,0.7,0.8,0.3882083945778213
330,1,0.5,0.9,0.2,0.36942675159235666
331,2,0.5,0.9,0.2,0.37138657520823126
332,3,0.5,0.9,0.2,0.37465294790135556
333,4,0.5,0.9,0.2,0.36779356524579454
