,split,sup_loss_weight,alpha,u,accuracy
138,9,0.25,0.2,0.5,0.522
139,10,0.25,0.2,0.5,0.762
140,1,0.25,0.2,0.8,0.418
141,2,0.25,0.2,0.8,0.758
142,3,0.25,0.2,0.8,0.804
143,4,0.25,0.2,0.8,0.774
144,5,0.25,0.2,0.8,0.75
145,6,0.25,0.2,0.8,0.736
146,7,0.25,0.2,0.8,0.762
147,8,0.25,0.2,0.8,0.528
148,9,0.25,0.2,0.8,0.726
149,10,0.25,0.2,0.8,0.812
150,1,0.25,0.5,0.2,0.37
151,2,0.25,0.5,0.2,0.754
152,3,0.25,0.5,0.2,0.814
153,4,0.25,0.5,0.2,0.428
154,5,0.25,0.5,0.2,0.716
155,6,0.25,0.5,0.2,0.69
156,7,0.25,0.5,0.2,0.396
157,8,0.25,0.5,0.2,0.712
158,9,0.25,0.5,0.2,0.802
159,10,0.25,0.5,0.2,0.75
160,1,0.25,0.5,0.5,0.416
161,2,0.25,0.5,0.5,0.428
162,3,0.25,0.5,0.5,0.802
163,4,0.25,0.5,0.5,0.79
164,5,0.25,0.5,0.5,0.732
165,6,0.25,0.5,0.5,0.752
166,7,0.25,0.5,0.5,0.428
167,8,0.25,0.5,0.5,0.718
168,9,0.25,0.5,0.5,0.658
169,10,0.25,0.5,0.5,0.752
170,1,0.25,0.5,0.8,0.37
171,2,0.25,0.5,0.8,0.756
172,3,0.25,0.5,0.8,0.84
173,4,0.25,0.5,0.8,0.774
174,5,0.25,0.5,0.8,0.786
175,6,0.25,0.5,0.8,0.772
176,7,0.25,0.5,0.8,0.772
177,8,0.25,0.5,0.8,0.74
178,9,0.25,0.5,0.8,0.702
179,10,0.25,0.5,0.8,0.758
180,1,0.25,0.7,0.2,0.696
181,2,0.25,0.7,0.2,0.716
182,3,0.25,0.7,0.2,0.798
183,4,0.25,0.7,0.2,0.486
184,5,0.25,0.7,0.2,0.51
185,6,0.25,0.7,0.2,0.732
186,7,0.25,0.7,0.2,0.804
187,8,0.25,0.7,0.2,0.732
188,9,0.25,0.7,0.2,0.778
189,10,0.25,0.7,0.2,0.792
190,1,0.25,0.7,0.5,0.408
191,2,0.25,0.7,0.5,0.716
192,3,0.25,0.7,0.5,0.816
193,4,0.25,0.7,0.5,0.388
194,5,0.25,0.7,0.5,0.744
195,6,0.25,0.7,0.5,0.526
196,7,0.25,0.7,0.5,0.44
197,8,0.25,0.7,0.5,0.736
198,9,0.25,0.7,0.5,0.78
199,10,0.25,0.7,0.5,0.762
200,1,0.25,0.7,0.8,0.744
201,2,0.25,0.7,0.8,0.748
202,3,0.25,0.7,0.8,0.74
203,4,0.25,0.7,0.8,0.786
204,5,0.25,0.7,0.8,0.686
205,6,0.25,0.7,0.8,0.75
206,7,0.25,0.7,0.8,0.812
207,8,0.25,0.7,0.8,0.694
208,9,0.25,0.7,0.8,0.694
209,10,0.25,0.7,0.8,0.664
210,1,0.25,0.9,0.2,0.38
211,2,0.25,0.9,0.2,0.716
212,3,0.25,0.9,0.2,0.78
213,4,0.25,0.9,0.2,0.768
214,5,0.25,0.9,0.2,0.762
215,6,0.25,0.9,0.2,0.758
216,7,0.25,0.9,0.2,0.768
217,8,0.25,0.9,0.2,0.508
218,9,0.25,0.9,0.2,0.762
219,10,0.25,0.9,0.2,0.426
220,1,0.25,0.9,0.5,0.762
221,2,0.25,0.9,0.5,0.45
222,3,0.25,0.9,0.5,0.772
223,4,0.25,0.9,0.5,0.438
224,5,0.25,0.9,0.5,0.712
225,6,0.25,0.9,0.5,0.768
226,7,0.25,0.9,0.5,0.762
227,8,0.25,0.9,0.5,0.494
228,9,0.25,0.9,0.5,0.402
229,10,0.25,0.9,0.5,0.766
230,1,0.25,0.9,0.8,0.728
231,2,0.25,0.9,0.8,0.76
232,3,0.25,0.9,0.8,0.738
233,4,0.25,0.9,0.8,0.654
