,split,sup_loss_weight,alpha,u,accuracy
138,9,0.25,0.2,0.5,0.802
139,10,0.25,0.2,0.5,0.744
140,1,0.25,0.2,0.8,0.814
141,2,0.25,0.2,0.8,0.806
142,3,0.25,0.2,0.8,0.768
143,4,0.25,0.2,0.8,0.818
144,5,0.25,0.2,0.8,0.74
145,6,0.25,0.2,0.8,0.752
146,7,0.25,0.2,0.8,0.78
147,8,0.25,0.2,0.8,0.778
148,9,0.25,0.2,0.8,0.824
149,10,0.25,0.2,0.8,0.772
150,1,0.25,0.5,0.2,0.772
151,2,0.25,0.5,0.2,0.778
152,3,0.25,0.5,0.2,0.792
153,4,0.25,0.5,0.2,0.814
154,5,0.25,0.5,0.2,0.764
155,6,0.25,0.5,0.2,0.73
156,7,0.25,0.5,0.2,0.754
157,8,0.25,0.5,0.2,0.796
158,9,0.25,0.5,0.2,0.82
159,10,0.25,0.5,0.2,0.762
160,1,0.25,0.5,0.5,0.772
161,2,0.25,0.5,0.5,0.786
162,3,0.25,0.5,0.5,0.764
163,4,0.25,0.5,0.5,0.818
164,5,0.25,0.5,0.5,0.8
165,6,0.25,0.5,0.5,0.718
166,7,0.25,0.5,0.5,0.8
167,8,0.25,0.5,0.5,0.78
168,9,0.25,0.5,0.5,0.83
169,10,0.25,0.5,0.5,0.768
170,1,0.25,0.5,0.8,0.782
171,2,0.25,0.5,0.8,0.766
172,3,0.25,0.5,0.8,0.75
173,4,0.25,0.5,0.8,0.816
174,5,0.25,0.5,0.8,0.714
175,6,0.25,0.5,0.8,0.75
176,7,0.25,0.5,0.8,0.792
177,8,0.25,0.5,0.8,0.738
178,9,0.25,0.5,0.8,0.83
179,10,0.25,0.5,0.8,0.728
180,1,0.25,0.7,0.2,0.764
181,2,0.25,0.7,0.2,0.794
182,3,0.25,0.7,0.2,0.78
183,4,0.25,0.7,0.2,0.798
184,5,0.25,0.7,0.2,0.778
185,6,0.25,0.7,0.2,0.766
186,7,0.25,0.7,0.2,0.734
187,8,0.25,0.7,0.2,0.736
188,9,0.25,0.7,0.2,0.818
189,10,0.25,0.7,0.2,0.792
190,1,0.25,0.7,0.5,0.774
191,2,0.25,0.7,0.5,0.802
192,3,0.25,0.7,0.5,0.772
193,4,0.25,0.7,0.5,0.792
194,5,0.25,0.7,0.5,0.796
195,6,0.25,0.7,0.5,0.734
196,7,0.25,0.7,0.5,0.804
197,8,0.25,0.7,0.5,0.792
198,9,0.25,0.7,0.5,0.83
199,10,0.25,0.7,0.5,0.784
200,1,0.25,0.7,0.8,0.766
201,2,0.25,0.7,0.8,0.76
202,3,0.25,0.7,0.8,0.754
203,4,0.25,0.7,0.8,0.786
204,5,0.25,0.7,0.8,0.76
205,6,0.25,0.7,0.8,0.744
206,7,0.25,0.7,0.8,0.758
207,8,0.25,0.7,0.8,0.768
208,9,0.25,0.7,0.8,0.818
209,10,0.25,0.7,0.8,0.792
210,1,0.25,0.9,0.2,0.764
211,2,0.25,0.9,0.2,0.792
212,3,0.25,0.9,0.2,0.818
213,4,0.25,0.9,0.2,0.772
214,5,0.25,0.9,0.2,0.774
215,6,0.25,0.9,0.2,0.734
216,7,0.25,0.9,0.2,0.772
217,8,0.25,0.9,0.2,0.756
218,9,0.25,0.9,0.2,0.816
219,10,0.25,0.9,0.2,0.796
220,1,0.25,0.9,0.5,0.77
221,2,0.25,0.9,0.5,0.814
222,3,0.25,0.9,0.5,0.804
223,4,0.25,0.9,0.5,0.81
224,5,0.25,0.9,0.5,0.77
225,6,0.25,0.9,0.5,0.766
226,7,0.25,0.9,0.5,0.764
227,8,0.25,0.9,0.5,0.734
228,9,0.25,0.9,0.5,0.834
229,10,0.25,0.9,0.5,0.762
230,1,0.25,0.9,0.8,0.698
231,2,0.25,0.9,0.8,0.76
232,3,0.25,0.9,0.8,0.79
233,4,0.25,0.9,0.8,0.81
234,5,0.25,0.9,0.8,0.746
235,6,0.25,0.9,0.8,0.73
236,7,0.25,0.9,0.8,0.78
237,8,0.25,0.9,0.8,0.736
238,9,0.25,0.9,0.8,0.776
239,10,0.25,0.9,0.8,0.774
240,1,0.5,0.2,0.2,0.762
241,2,0.5,0.2,0.2,0.826
242,3,0.5,0.2,0.2,0.828
243,4,0.5,0.2,0.2,0.804
244,5,0.5,0.2,0.2,0.78
245,6,0.5,0.2,0.2,0.742
246,7,0.5,0.2,0.2,0.788
247,8,0.5,0.2,0.2,0.766
248,9,0.5,0.2,0.2,0.834
249,10,0.5,0.2,0.2,0.754
250,1,0.5,0.2,0.5,0.758
251,2,0.5,0.2,0.5,0.798
252,3,0.5,0.2,0.5,0.78
253,4,0.5,0.2,0.5,0.824
254,5,0.5,0.2,0.5,0.788
255,6,0.5,0.2,0.5,0.748
256,7,0.5,0.2,0.5,0.772
257,8,0.5,0.2,0.5,0.774
258,9,0.5,0.2,0.5,0.824
259,10,0.5,0.2,0.5,0.772
260,1,0.5,0.2,0.8,0.778
261,2,0.5,0.2,0.8,0.804
262,3,0.5,0.2,0.8,0.758
263,4,0.5,0.2,0.8,0.83
264,5,0.5,0.2,0.8,0.73
265,6,0.5,0.2,0.8,0.762
266,7,0.5,0.2,0.8,0.764
267,8,0.5,0.2,0.8,0.816
268,9,0.5,0.2,0.8,0.824
269,10,0.5,0.2,0.8,0.77
270,1,0.5,0.5,0.2,0.774
271,2,0.5,0.5,0.2,0.798
272,3,0.5,0.5,0.2,0.842
273,4,0.5,0.5,0.2,0.816
274,5,0.5,0.5,0.2,0.768
275,6,0.5,0.5,0.2,0.764
276,7,0.5,0.5,0.2,0.766
277,8,0.5,0.5,0.2,0.772
278,9,0.5,0.5,0.2,0.842
279,10,0.5,0.5,0.2,0.736
280,1,0.5,0.5,0.5,0.774
281,2,0.5,0.5,0.5,0.766
282,3,0.5,0.5,0.5,0.786
283,4,0.5,0.5,0.5,0.838
284,5,0.5,0.5,0.5,0.794
285,6,0.5,0.5,0.5,0.754
286,7,0.5,0.5,0.5,0.784
287,8,0.5,0.5,0.5,0.766
288,9,0.5,0.5,0.5,0.812
289,10,0.5,0.5,0.5,0.776
290,1,0.5,0.5,0.8,0.788
291,2,0.5,0.5,0.8,0.778
292,3,0.5,0.5,0.8,0.822
293,4,0.5,0.5,0.8,0.806
294,5,0.5,0.5,0.8,0.792
295,6,0.5,0.5,0.8,0.738
296,7,0.5,0.5,0.8,0.742
297,8,0.5,0.5,0.8,0.768
298,9,0.5,0.5,0.8,0.802
299,10,0.5,0.5,0.8,0.72
300,1,0.5,0.7,0.2,0.782
301,2,0.5,0.7,0.2,0.796
302,3,0.5,0.7,0.2,0.82
303,4,0.5,0.7,0.2,0.808
304,5,0.5,0.7,0.2,0.776
305,6,0.5,0.7,0.2,0.778
306,7,0.5,0.7,0.2,0.752
307,8,0.5,0.7,0.2,0.712
308,9,0.5,0.7,0.2,0.822
309,10,0.5,0.7,0.2,0.766
310,1,0.5,0.7,0.5,0.806
311,2,0.5,0.7,0.5,0.79
312,3,0.5,0.7,0.5,0.762
313,4,0.5,0.7,0.5,0.81
314,5,0.5,0.7,0.5,0.772
315,6,0.5,0.7,0.5,0.752
316,7,0.5,0.7,0.5,0.76
317,8,0.5,0.7,0.5,0.78
318,9,0.5,0.7,0.5,0.82
319,10,0.5,0.7,0.5,0.78
320,1,0.5,0.7,0.8,0.766
321,2,0.5,0.7,0.8,0.738
322,3,0.5,0.7,0.8,0.726
323,4,0.5,0.7,0.8,0.81
324,5,0.5,0.7,0.8,0.742
325,6,0.5,0.7,0.8,0.748
326,7,0.5,0.7,0.8,0.76
327,8,0.5,0.7,0.8,0.732
328,9,0.5,0.7,0.8,0.84
329,10,0.5,0.7,0.8,0.784
330,1,0.5,0.9,0.2,0.778
331,2,0.5,0.9,0.2,0.754
332,3,0.5,0.9,0.2,0.798
333,4,0.5,0.9,0.2,0.804
334,5,0.5,0.9,0.2,0.748
335,6,0.5,0.9,0.2,0.764
336,7,0.5,0.9,0.2,0.77
337,8,0.5,0.9,0.2,0.762
338,9,0.5,0.9,0.2,0.82
339,10,0.5,0.9,0.2,0.786
340,1,0.5,0.9,0.5,0.766
341,2,0.5,0.9,0.5,0.8
342,3,0.5,0.9,0.5,0.8
343,4,0.5,0.9,0.5,0.81
344,5,0.5,0.9,0.5,0.758
345,6,0.5,0.9,0.5,0.734
346,7,0.5,0.9,0.5,0.764
347,8,0.5,0.9,0.5,0.712
348,9,0.5,0.9,0.5,0.796
349,10,0.5,0.9,0.5,0.78
350,1,0.5,0.9,0.8,0.684
351,2,0.5,0.9,0.8,0.786
352,3,0.5,0.9,0.8,0.798
353,4,0.5,0.9,0.8,0.76
354,5,0.5,0.9,0.8,0.702
355,6,0.5,0.9,0.8,0.738
356,7,0.5,0.9,0.8,0.64
357,8,0.5,0.9,0.8,0.778
358,9,0.5,0.9,0.8,0.802
359,10,0.5,0.9,0.8,0.776
360,1,0.8,0.2,0.2,0.79
361,2,0.8,0.2,0.2,0.816
362,3,0.8,0.2,0.2,0.762
363,4,0.8,0.2,0.2,0.814
364,5,0.8,0.2,0.2,0.796
365,6,0.8,0.2,0.2,0.778
366,7,0.8,0.2,0.2,0.798
367,8,0.8,0.2,0.2,0.768
368,9,0.8,0.2,0.2,0.818
369,10,0.8,0.2,0.2,0.766
370,1,0.8,0.2,0.5,0.782
371,2,0.8,0.2,0.5,0.792
372,3,0.8,0.2,0.5,0.786
373,4,0.8,0.2,0.5,0.778
374,5,0.8,0.2,0.5,0.768
375,6,0.8,0.2,0.5,0.708
376,7,0.8,0.2,0.5,0.796
377,8,0.8,0.2,0.5,0.778
378,9,0.8,0.2,0.5,0.794
379,10,0.8,0.2,0.5,0.764
380,1,0.8,0.2,0.8,0.788
381,2,0.8,0.2,0.8,0.794
382,3,0.8,0.2,0.8,0.772
383,4,0.8,0.2,0.8,0.818
384,5,0.8,0.2,0.8,0.752
385,6,0.8,0.2,0.8,0.758
386,7,0.8,0.2,0.8,0.786
387,8,0.8,0.2,0.8,0.802
388,9,0.8,0.2,0.8,0.824
389,10,0.8,0.2,0.8,0.76
390,1,0.8,0.5,0.2,0.768
391,2,0.8,0.5,0.2,0.804
392,3,0.8,0.5,0.2,0.8
393,4,0.8,0.5,0.2,0.814
394,5,0.8,0.5,0.2,0.774
395,6,0.8,0.5,0.2,0.77
396,7,0.8,0.5,0.2,0.792
397,8,0.8,0.5,0.2,0.77
398,9,0.8,0.5,0.2,0.828
399,10,0.8,0.5,0.2,0.754
400,1,0.8,0.5,0.5,0.77
401,2,0.8,0.5,0.5,0.808
402,3,0.8,0.5,0.5,0.816
403,4,0.8,0.5,0.5,0.816
404,5,0.8,0.5,0.5,0.778
405,6,0.8,0.5,0.5,0.74
406,7,0.8,0.5,0.5,0.768
407,8,0.8,0.5,0.5,0.798
408,9,0.8,0.5,0.5,0.822
409,10,0.8,0.5,0.5,0.748
410,1,0.8,0.5,0.8,0.778
411,2,0.8,0.5,0.8,0.776
412,3,0.8,0.5,0.8,0.75
413,4,0.8,0.5,0.8,0.786
414,5,0.8,0.5,0.8,0.786
415,6,0.8,0.5,0.8,0.728
416,7,0.8,0.5,0.8,0.77
417,8,0.8,0.5,0.8,0.75
418,9,0.8,0.5,0.8,0.802
419,10,0.8,0.5,0.8,0.772
420,1,0.8,0.7,0.2,0.778
421,2,0.8,0.7,0.2,0.816
422,3,0.8,0.7,0.2,0.832
423,4,0.8,0.7,0.2,0.808
424,5,0.8,0.7,0.2,0.782
425,6,0.8,0.7,0.2,0.772
426,7,0.8,0.7,0.2,0.728
427,8,0.8,0.7,0.2,0.744
428,9,0.8,0.7,0.2,0.826
429,10,0.8,0.7,0.2,0.778
430,1,0.8,0.7,0.5,0.788
431,2,0.8,0.7,0.5,0.8
432,3,0.8,0.7,0.5,0.804
433,4,0.8,0.7,0.5,0.812
434,5,0.8,0.7,0.5,0.778
